"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Clark",-34.03,"Ashland NW",1996-07-08,370829099532501,25,33,c(-99.890227, 37.14125),"1996","71-0",-99.890227,37.14125
"2","Clark",-32.16,"Ashland NW",1996-12-13,370829099532501,25,33,c(-99.890227, 37.14125),"1996","71-0",-99.890227,37.14125
"3","Clark",-30.84,"Ashland NW",1997-12-19,370829099532501,25,33,c(-99.890227, 37.14125),"1997","71-0",-99.890227,37.14125
"4","Clark",-30.5,"Ashland NW",1998-03-30,370829099532501,25,33,c(-99.890227, 37.14125),"1998","71-0",-99.890227,37.14125
"5","Clark",-30.33,"Ashland NW",1998-06-18,370829099532501,25,33,c(-99.890227, 37.14125),"1998","71-0",-99.890227,37.14125
"6","Clark",-30.05,"Ashland NW",1998-09-28,370829099532501,25,33,c(-99.890227, 37.14125),"1998","71-0",-99.890227,37.14125
"7","Clark",-29.81,"Ashland NW",1998-12-22,370829099532501,25,33,c(-99.890227, 37.14125),"1998","71-0",-99.890227,37.14125
"8","Clark",-29.57,"Ashland NW",1999-04-06,370829099532501,25,33,c(-99.890227, 37.14125),"1999","71-0",-99.890227,37.14125
"9","Clark",-29.04,"Ashland NW",1999-06-21,370829099532501,25,33,c(-99.890227, 37.14125),"1999","71-0",-99.890227,37.14125
"10","Clark",-27.13,"Ashland NW",1999-09-29,370829099532501,25,33,c(-99.890227, 37.14125),"1999","71-0",-99.890227,37.14125
"11","Clark",-27.9,"Ashland NW",1999-12-09,370829099532501,25,33,c(-99.890227, 37.14125),"1999","71-0",-99.890227,37.14125
"12","Clark",-28.29,"Ashland NW",2000-12-27,370829099532501,25,33,c(-99.890227, 37.14125),"2000","71-0",-99.890227,37.14125
"13","Clark",-27.09,"Ashland NW",2001-12-13,370829099532501,25,33,c(-99.890227, 37.14125),"2001","71-0",-99.890227,37.14125
"14","Clark",-27.24,"Ashland NW",2002-03-22,370829099532501,25,33,c(-99.890227, 37.14125),"2002","71-0",-99.890227,37.14125
"15","Clark",-27.8,"Ashland NW",2002-06-13,370829099532501,25,33,c(-99.890227, 37.14125),"2002","71-0",-99.890227,37.14125
"16","Clark",-28.55,"Ashland NW",2002-09-11,370829099532501,25,33,c(-99.890227, 37.14125),"2002","71-0",-99.890227,37.14125
"17","Clark",-28.39,"Ashland NW",2002-12-16,370829099532501,25,33,c(-99.890227, 37.14125),"2002","71-0",-99.890227,37.14125
"18","Clark",-29.9,"Ashland NW",2003-03-27,370829099532501,25,33,c(-99.890227, 37.14125),"2003","71-0",-99.890227,37.14125
"19","Clark",-30.4,"Ashland NW",2003-06-19,370829099532501,25,33,c(-99.890227, 37.14125),"2003","71-0",-99.890227,37.14125
"20","Clark",-29.73,"Ashland NW",2003-09-17,370829099532501,25,33,c(-99.890227, 37.14125),"2003","71-0",-99.890227,37.14125
"21","Clark",-29.97,"Ashland NW",2003-12-12,370829099532501,25,33,c(-99.890227, 37.14125),"2003","71-0",-99.890227,37.14125
"22","Clark",-32.22,"Ashland NW",2004-03-15,370829099532501,25,33,c(-99.890227, 37.14125),"2004","71-0",-99.890227,37.14125
"23","Clark",-32.13,"Ashland NW",2004-06-17,370829099532501,25,33,c(-99.890227, 37.14125),"2004","71-0",-99.890227,37.14125
"24","Clark",-33.49,"Ashland NW",2004-09-16,370829099532501,25,33,c(-99.890227, 37.14125),"2004","71-0",-99.890227,37.14125
"25","Clark",-30.98,"Ashland NW",2004-12-14,370829099532501,25,33,c(-99.890227, 37.14125),"2004","71-0",-99.890227,37.14125
"26","Clark",-33.09,"Ashland NW",2005-03-17,370829099532501,25,33,c(-99.890227, 37.14125),"2005","71-0",-99.890227,37.14125
"27","Clark",-32.39,"Ashland NW",2005-06-14,370829099532501,25,33,c(-99.890227, 37.14125),"2005","71-0",-99.890227,37.14125
"28","Clark",-33.69,"Ashland NW",2005-09-15,370829099532501,25,33,c(-99.890227, 37.14125),"2005","71-0",-99.890227,37.14125
"29","Clark",-31.4,"Ashland NW",2005-12-13,370829099532501,25,33,c(-99.890227, 37.14125),"2005","71-0",-99.890227,37.14125
