"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Butler",-11.9,"AUGUSTA",1963-10-01,374051096585601,15,27,c(-96.984079, 37.680331),"1963","71-0",-96.984079,37.680331
"2","Butler",-11.09,"AUGUSTA",1963-10-29,374051096585601,15,27,c(-96.984079, 37.680331),"1963","71-0",-96.984079,37.680331
"3","Butler",-12.03,"AUGUSTA",1964-01-21,374051096585601,15,27,c(-96.984079, 37.680331),"1964","71-0",-96.984079,37.680331
"4","Butler",-11.97,"AUGUSTA",1964-03-20,374051096585601,15,27,c(-96.984079, 37.680331),"1964","71-0",-96.984079,37.680331
"5","Butler",-10.54,"AUGUSTA",1964-04-30,374051096585601,15,27,c(-96.984079, 37.680331),"1964","71-0",-96.984079,37.680331
"6","Butler",-11.65,"AUGUSTA",1964-07-21,374051096585601,15,27,c(-96.984079, 37.680331),"1964","71-0",-96.984079,37.680331
"7","Butler",-9.32,"BENTON",1962-08-09,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
"8","Butler",-9.02,"BENTON",1962-08-17,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
"9","Butler",-9.26,"BENTON",1962-08-24,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
"10","Butler",-9.48,"BENTON",1962-08-29,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
"11","Butler",-9.43,"BENTON",1962-08-30,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
"12","Butler",-9.3,"BENTON",1962-08-31,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
"13","Butler",-7.39,"BENTON",1962-09-28,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
"14","Butler",-7.54,"BENTON",1962-10-05,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
"15","Butler",-7.69,"BENTON",1962-10-12,374742097002001,15,26,c(-97.00628, 37.794893),"1962","71-0",-97.00628,37.794893
