"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Greeley",-89.4,NA,1947-08-01,383228101525901,71,17,c(-101.88406, 38.5392),"1947","143-72",-101.88406,38.5392
"2","Greeley",-89.43,NA,1947-08-06,383228101525901,71,17,c(-101.88406, 38.5392),"1947","143-72",-101.88406,38.5392
"3","Greeley",-87.85,NA,1967-03-28,383228101525901,71,17,c(-101.88406, 38.5392),"1967","143-72",-101.88406,38.5392
"4","Greeley",-87.97,NA,1967-06-14,383228101525901,71,17,c(-101.88406, 38.5392),"1967","143-72",-101.88406,38.5392
"5","Greeley",-88.03,NA,1967-09-19,383228101525901,71,17,c(-101.88406, 38.5392),"1967","143-72",-101.88406,38.5392
"6","Greeley",-87.5,NA,1967-12-20,383228101525901,71,17,c(-101.88406, 38.5392),"1967","143-72",-101.88406,38.5392
"7","Greeley",-88.21,NA,1968-01-19,383228101525901,71,17,c(-101.88406, 38.5392),"1968","143-72",-101.88406,38.5392
"8","Greeley",-88.07,NA,1968-03-26,383228101525901,71,17,c(-101.88406, 38.5392),"1968","143-72",-101.88406,38.5392
"9","Greeley",-88.45,NA,1968-06-19,383228101525901,71,17,c(-101.88406, 38.5392),"1968","143-72",-101.88406,38.5392
"10","Greeley",-88.75,NA,1968-09-24,383228101525901,71,17,c(-101.88406, 38.5392),"1968","143-72",-101.88406,38.5392
"11","Greeley",-88.55,NA,1969-01-20,383228101525901,71,17,c(-101.88406, 38.5392),"1969","143-72",-101.88406,38.5392
"12","Greeley",-88.94,NA,1969-04-23,383228101525901,71,17,c(-101.88406, 38.5392),"1969","143-72",-101.88406,38.5392
"13","Greeley",-88.93,NA,1969-07-15,383228101525901,71,17,c(-101.88406, 38.5392),"1969","143-72",-101.88406,38.5392
"14","Greeley",-89.11,NA,1969-09-29,383228101525901,71,17,c(-101.88406, 38.5392),"1969","143-72",-101.88406,38.5392
"15","Greeley",-89.09,NA,1969-12-23,383228101525901,71,17,c(-101.88406, 38.5392),"1969","143-72",-101.88406,38.5392
"16","Greeley",-89.49,NA,1970-01-19,383228101525901,71,17,c(-101.88406, 38.5392),"1970","143-72",-101.88406,38.5392
"17","Greeley",-89.28,NA,1970-04-14,383228101525901,71,17,c(-101.88406, 38.5392),"1970","143-72",-101.88406,38.5392
"18","Greeley",-89.42,NA,1970-07-08,383228101525901,71,17,c(-101.88406, 38.5392),"1970","143-72",-101.88406,38.5392
"19","Greeley",-89.5,NA,1970-09-21,383228101525901,71,17,c(-101.88406, 38.5392),"1970","143-72",-101.88406,38.5392
"20","Greeley",-89.63,NA,1971-01-18,383228101525901,71,17,c(-101.88406, 38.5392),"1971","143-72",-101.88406,38.5392
"21","Greeley",-89.3,NA,1971-03-24,383228101525901,71,17,c(-101.88406, 38.5392),"1971","143-72",-101.88406,38.5392
"22","Greeley",-89.4,NA,1971-06-23,383228101525901,71,17,c(-101.88406, 38.5392),"1971","143-72",-101.88406,38.5392
"23","Greeley",-89.65,NA,1971-09-29,383228101525901,71,17,c(-101.88406, 38.5392),"1971","143-72",-101.88406,38.5392
"24","Greeley",-89.66,NA,1971-12-28,383228101525901,71,17,c(-101.88406, 38.5392),"1971","143-72",-101.88406,38.5392
"25","Greeley",-89.3,NA,1972-01-17,383228101525901,71,17,c(-101.88406, 38.5392),"1972","143-72",-101.88406,38.5392
